"书名","封面图片地址","出版信息","作者","内容简介","标签信息","标签1","标签2","标签3","标签4","标签5","标签6","标签7","标签8"
"远大前程","https://img3.doubanio.com/view/subject/l/public/s1007404.jpg","作者:                         [英]            狄更斯          /                        [英]            查尔斯·狄更斯                  出版社: 人民文学出版社                                  原作名: Great Expectations                     译者:                        主万                   /                叶尊                  出版年: 2004-8              页数: 507              定价: 24.00              装帧: 平装              丛书: 名著名译插图本                          ISBN: 9787020046430","[英]            狄更斯","《远大前程》是狄更斯最成熟的作品之一，是他比较晚期的作品。狄更斯经历了丰富的人间生活后，对人，对周围环境，对自己的生活经历都有了深刻的认识，而所有他成熟的思想认识都汇总在《远大前程》一书中。","狄更斯                  外国文学                  英国                  小说                  远大前程                  英国文学                  查尔斯·狄更斯                  名著  ","狄更斯","外国文学","英国","小说","远大前程","英国文学","查尔斯·狄更斯","名著"
"八百万种死法","https://img3.doubanio.com/view/subject/l/public/s1887693.jpg","作者:                         [美]            劳伦斯·布洛克                  出版社: 新星出版社                                  原作名: Eight Million Ways to Die                     译者:                        潘源                   /                王默 等                  出版年: 2006-9              页数: 383              定价: 29.00元              装帧: 精装              丛书: 午夜文库·大师系列：劳伦斯·布洛克作品之马修·斯卡德系列                          ISBN: 9787802250970","[美]            劳伦斯·布洛克",,"劳伦斯·布洛克                  推理                  八百万种死法                  侦探小说                  小说                  美国                  侦探                  外国文学  ","劳伦斯·布洛克","推理","八百万种死法","侦探小说","小说","美国","侦探","外国文学"
"伊凡·伊里奇的死","https://img3.doubanio.com/view/subject/l/public/s2721456.jpg","作者:                         [俄]            列夫·托尔斯泰                  出版社: 山西人民出版社                                            译者:                     草婴                  出版年: 1985-05-01              页数: 83              定价: 0.44              装帧: 平装                                    统一书号: 10088-932","[俄]            列夫·托尔斯泰","《伊凡•伊里奇之死》是托尔斯泰晚年（1886）一部重要的代表作。作品一经发表就引起强烈反响，法国作家莫泊桑深深为之折服，曾经感叹说：“我看到，我的全部创作活动都算不上什么，我的整整十卷作品分文不值。”","托尔斯泰                  小说                  死亡                  文学                  外国文学                  俄罗斯文学                  俄罗斯                  苏俄文学  ","托尔斯泰","小说","死亡","文学","外国文学","俄罗斯文学","俄罗斯","苏俄文学"
"流浪的星星","https://img3.doubanio.com/view/subject/l/public/s4179076.jpg","作者:                         [法]            勒克莱齐奥                  出版社: 人民文学出版社              出品方: 99读书人              副标题: 勒克莱齐奥作品系列                        译者:                     袁筱一                  出版年: 2010-02-01              页数: 292              定价: 29.00元              装帧: 平装              丛书: 勒克莱齐奥作品系列                          ISBN: 9787020078530","[法]            勒克莱齐奥","《流浪的星星》是勒克莱齐奥最杰出的代表作，表现出一种笔酣墨饱的成熟，以美轮美奂的文字书写隐隐的忧患、伤痕、无奈和绝望，让人无从拒绝。","勒·克莱齐奥                  法国                  法国文学                  小说                  外国文学                  勒克莱齐奥                  袁筱一                  Le.Clézio  ","勒·克莱齐奥","法国","法国文学","小说","外国文学","勒克莱齐奥","袁筱一","Le.Clézio"
"个人的体验","https://img3.doubanio.com/view/subject/l/public/s1176645.jpg","作者:                         [日]            大江健三郎                  出版社: 光明日报出版社                                                   译者:                        王中忱                  出版年: 1995-05              页数: 326              定价: 14.80              装帧: 平装              丛书: 大江健三郎作品集                          ISBN: 9787800916984","[日]            大江健三郎","小说主人公鸟的妻子生了个残疾婴儿，使鸟突然间陷入艰难的处境，鸟首先选择了逃避，他把婴儿扔在医院，并设法让其衰弱而死，自己则躲到旧日情人火见子的卧室，陷入爱河欲海之中，火见子是天使又似魔女，她给鸟安慰，使鸟忘忧，也诱使鸟不断堕落，经过漫长的心灵炼狱，最后，鸟终于幡然醒悟，勇敢肩负起自己的责任，决心和残废婴儿共同坚韧地生存下去。","大江健三郎                  日本文学                  日本                  小说                  诺贝尔文学奖                  外国文学                  文学                  大江健三郎个人的体验  ","大江健三郎","日本文学","日本","小说","诺贝尔文学奖","外国文学","文学","大江健三郎个人的体验"
"太阳照常升起","https://img1.doubanio.com/view/subject/l/public/s1555577.jpg","作者:                         [美]            欧内斯特·海明威                  出版社: 上海译文出版社                                                   译者:                        赵静男                  出版年: 2004-6-1              页数: 286              定价: 17.00              装帧: 平装(无盘)              丛书: 海明威文集                          ISBN: 9787532734283","[美]            欧内斯特·海明威","美国青年巴恩斯在第一次世界大战中脊椎受伤，失去性能力，战后在巴黎任记者时与英国人阿施利夫人相爱，夫人一味追求享乐，而他只能借酒浇愁。两人和一帮男女朋友去西班牙潘普洛纳参加斗牛节，追求精神刺激。夫人拒绝了犹太青年科恩的苦苦追求，却迷上了年仅十九岁的斗牛士罗梅罗。然而，在相处了一段日子以后，由于双方年龄实在悬殊，而阿施利夫人又不忍心毁掉纯洁青年的前程，这段恋情黯然告终。夫人最终回到了巴恩斯身边，尽管双方都清楚，彼此永远也不能真正地结合在一起。&nbsp;&nbsp;&nbsp;&nbsp;这是海明威的第一部长篇小说，作者籍此成为“迷惘的一代”的代言人，并以此书开创了海明威式的独特文风。","海明威                  小说                  迷惘的一代                  美国                  太阳照常升起                  美国文学                  外国文学                  文学  ","海明威","小说","迷惘的一代","美国","太阳照常升起","美国文学","外国文学","文学"
"过把瘾就死","https://img1.doubanio.com/view/subject/l/public/s1150219.jpg","作者:                     王朔                  出版社: 云南人民出版社                                                      出版年: 2002-1              页数: 331              定价: 19.00元              装帧: 平装              丛书: 王朔文集                          ISBN: 9787222034051","王朔","选收《过把瘾就死》、《一半是火焰 一半是海水》、《浮出海面》和《空中小姐》四部中篇小说。","王朔                  小说                  过把瘾就死                  中国文学                  痞子文学                  当代文学                  中国                  现代小说  ","王朔","小说","过把瘾就死","中国文学","痞子文学","当代文学","中国","现代小说"
"我的团长我的团（下部）","https://img3.doubanio.com/view/subject/l/public/s3698353.jpg","作者:                     兰晓龙                  出版社: 新星出版社                                                      出版年: 2009-1              页数: 428              定价: 35.00              装帧: 平装              丛书: 我的团长我的团                          ISBN: 9787802255869","兰晓龙","怒江边，南天门上，日本人的堡垒犹如怪物。敌人恶毒，川军团只能把杖打得“断子绝孙”，南天门一役惨烈之极。","兰晓龙                  我的团长我的团                  小说                  远征军                  战争                  中国                  缅北之战                  249  ","兰晓龙","我的团长我的团","小说","远征军","战争","中国","缅北之战","249"
"人间喜剧","https://img3.doubanio.com/view/subject/l/public/s4422116.jpg","作者:                         [法]            巴尔扎克                  出版社: 世界图书出版公司                        副标题: 巴尔扎克小说选集                                  出版年: 2009-10              页数: 674              定价: 29.80元              装帧: 平装              丛书: 名著典藏                          ISBN: 9787510010361","[法]            巴尔扎克","《人间喜剧:巴尔扎克小说选集》内容简介：巴尔扎克是十九世纪法国最伟大的作家之一，也是世界闻名的现实主义大师。他以毕生心血创作的由九十多部独立而又有所联系的小说组成的巨著《人间喜剧》，是人类文学宝库中的一朵奇葩。他用生花妙笔使几千个人物活跃在书中，而且对这些人物之间的本质关系进行了深刻的剖析，展现了法国社会从封建主义向资本义过渡时期的历史画卷。","巴尔扎克                  外国文学                  小说                  人间喜剧                  文学                  法国                  人性                  英文原版  ","巴尔扎克","外国文学","小说","人间喜剧","文学","法国","人性","英文原版"
"后来的事","https://img3.doubanio.com/view/subject/l/public/s4417054.jpg","作者:                        [日] 夏目漱石                  出版社: 上海译文出版社                                  原作名: それから              译者:                     吴树文                  出版年: 2010-7              页数: 263              定价: 27.00元              装帧: 平装              丛书: 夏目漱石作品系列                          ISBN: 9787532750085","吴树文","长井代助是一个没有固定职业的“多余人”，靠着向父母或兄弟伸手要钱度日。大学毕业后，三十岁了还没安家，也不谋职工作。年轻时他对一切态度消极，曾把相爱的三千代让给朋友平冈。可是三千代嫁给平冈后并不幸福，生下的一个孩子不久也夭折了。平冈在事业上失败后从大阪返回东京，三千代登门求情借钱。代助对三千代的爱并未消失。他决心挽回自己的过失，把落难的三千代娶为妻，将她从窘境中解救出来，开始新的生活。由于代助的决定违背了父亲的意志，拒绝父兄安排的婚事，与家庭决裂了，生活费也没了着落．然而他并没改变主意。当他把一切向平冈和盘托出时，平冈愤然提出绝交。尽管如此，代助和三千代热烈而真心地相爱着。不久，三千代病倒了。为了生活，代助头顶着骄阳四处奔走，寻找着工作。","夏目漱石                  日本文学                  日本                  小说                  文学                  后来的事                  外国文学                  上海译文  ","夏目漱石","日本文学","日本","小说","文学","后来的事","外国文学","上海译文"
