"书名","封面图片地址","出版信息","作者","内容简介","标签信息","标签1","标签2","标签3","标签4","标签5","标签6","标签7","标签8"
"解忧杂货店","https://img3.doubanio.com/view/subject/l/public/s27264181.jpg","作者:                         [日]            东野圭吾                  出版社: 南海出版公司                                  原作名: ナミヤ雑貨店の奇蹟                     译者:                                李盈春                  出版年: 2014-5              页数: 291              定价: 39.50元              装帧: 精装              丛书: 新经典文库·东野圭吾作品                          ISBN: 9787544270878","[日]            东野圭吾","现代人内心流失的东西，这家杂货店能帮你找回——","东野圭吾                  治愈                  小说                  温暖                  日本                  日本文学                  東野圭吾                  推理  ","东野圭吾","治愈","小说","温暖","日本","日本文学","東野圭吾","推理"
"巨人的陨落","https://img3.doubanio.com/view/subject/l/public/s28668834.jpg","作者:                         [英]            肯·福莱特                  出版社: 江苏凤凰文艺出版社                        副标题: 世纪三部曲              原作名: Fall of Giants              译者:                     于大卫                  出版年: 2016-5-1              页数: 1168              定价: 129.80元              装帧: 平装              丛书: 世纪三部曲                          ISBN: 9787539989891","[英]            肯·福莱特","在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴情的德国特工… 从充满灰尘和危险的煤矿到闪闪发光的皇室宫殿，从代表着权力的走廊到爱恨纠缠的卧室，五个家族迥然不同又纠葛不断的命运逐渐揭晓，波澜壮阔地展现了一个我们自认为了解，但从未如此真切感受过的20世纪。","历史                  小说                  外国文学                  肯·福莱特                  好书，值得一读                  英国小说                  经典                  英国  ","历史","小说","外国文学","肯·福莱特","好书，值得一读","英国小说","经典","英国"
"我的前半生","https://img1.doubanio.com/view/subject/l/public/s2720819.jpg","作者:                         [加拿大]            亦舒                  出版社: 新世界出版社                                                      出版年: 2007-8              页数: 271              定价: 22.00元              装帧: 平装              丛书: 亦舒新经典                          ISBN: 9787802283930","[加拿大]            亦舒","一个三十几岁的美丽女人子君，在家做全职家庭主妇。却被一个平凡女人夺走丈夫，一段婚姻的失败，让女主角不得不坚强，变得更美丽，有了事业，最终遇见一个更值得爱的男人……","亦舒                  我的前半生                  小说                  女性                  爱情                  香港                  言情                  中国文学  ","亦舒","我的前半生","小说","女性","爱情","香港","言情","中国文学"
"百年孤独","https://img3.doubanio.com/view/subject/l/public/s6384944.jpg","作者:                         [哥伦比亚]            加西亚·马尔克斯                  出版社: 南海出版公司              出品方: 新经典文化                        原作名: Cien años de soledad              译者:                     范晔                  出版年: 2011-6              页数: 360              定价: 39.50元              装帧: 精装              丛书: 新经典文库:加西亚·马尔克斯作品                          ISBN: 9787544253994","[哥伦比亚]            加西亚·马尔克斯","《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚•马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。","百年孤独                  加西亚·马尔克斯                  经典                  拉美文学                  外国文学                  小说                  魔幻现实主义                  文学  ","百年孤独","加西亚·马尔克斯","经典","拉美文学","外国文学","小说","魔幻现实主义","文学"
"追风筝的人","https://img3.doubanio.com/view/subject/l/public/s1727290.jpg","作者:                         [美]            卡勒德·胡赛尼                  出版社: 上海人民出版社              出品方: 世纪文景                        原作名: The Kite Runner              译者:                     李继宏                  出版年: 2006-5              页数: 362              定价: 29.00元              装帧: 平装              丛书: 卡勒德·胡赛尼作品                          ISBN: 9787208061644","[美]            卡勒德·胡赛尼","12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。","追风筝的人                  人性                  阿富汗                  救赎                  小说                  外国文学                  卡勒德·胡赛尼                  外国小说  ","追风筝的人","人性","阿富汗","救赎","小说","外国文学","卡勒德·胡赛尼","外国小说"
"霍乱时期的爱情","https://img3.doubanio.com/view/subject/l/public/s11284102.jpg","作者:                         [哥伦比亚]            加西亚·马尔克斯                  出版社: 南海出版公司                                  原作名: El amor en los tiempos del cólera              译者:                     杨玲                  出版年: 2012-9-1              页数: 401              定价: 39.50元              装帧: 精装              丛书: 新经典文库:加西亚·马尔克斯作品                          ISBN: 9787544258975","[哥伦比亚]            加西亚·马尔克斯","★马尔克斯唯一正式授权，首次完整翻译","加西亚-马尔克斯                  霍乱时期的爱情                  小说                  爱情                  加西亚·马尔克斯                  拉美文学                  外国文学                  文学  ","加西亚-马尔克斯","霍乱时期的爱情","小说","爱情","加西亚·马尔克斯","拉美文学","外国文学","文学"
"雪落香杉树","https://img3.doubanio.com/view/subject/l/public/s29476260.jpg","作者:                        [美] 戴维·伽特森                  出版社: 全本书店|作家出版社              出品方: 全本书店                        原作名: Snow Falling on Cedars                     译者:                        熊裕                  出版年: 2017-6              页数: 370              定价: 52.00元              装帧: 精装                                    ISBN: 9787506387873","全本书店",,"小说                  美国文学                  外国文学                  文学                  戴维·伽特森                  美国                  悬疑                  轻小说  ","小说","美国文学","外国文学","文学","戴维·伽特森","美国","悬疑","轻小说"
"新名字的故事","https://img3.doubanio.com/view/subject/l/public/s29376146.jpg","作者:                         [意]            埃莱娜·费兰特                  出版社: 人民文学出版社              出品方: 99读书人              副标题: 那不勒斯四部曲-02                               译者:                        陈英                  出版年: 2017-4              页数: 492              定价: 59.00元              装帧: 平装              丛书: 那不勒斯四部曲                          ISBN: 9787020125265","[意]            埃莱娜·费兰特",,"女性                  那不勒斯四部曲                  小说                  外国文学                  埃莱娜•费兰特                  意大利文学                  文学/小说                  意大利  ","女性","那不勒斯四部曲","小说","外国文学","埃莱娜•费兰特","意大利文学","文学/小说","意大利"
"1984","https://img1.doubanio.com/view/subject/l/public/s4371408.jpg","作者:                         [英]            乔治·奥威尔                  出版社: 北京十月文艺出版社                                  原作名: Nineteen Eighty-Four              译者:                     刘绍铭                  出版年: 2010-4-1              页数: 304              定价: 28.00              装帧: 精装              丛书: 新经典文库·桂冠文丛                          ISBN: 9787530210291","[英]            乔治·奥威尔","★村上春树以《1Q84》向本书致敬","乔治·奥威尔                  反乌托邦                  政治                  小说                  1984                  外国文学                  英国                  政治寓言  ","乔治·奥威尔","反乌托邦","政治","小说","1984","外国文学","英国","政治寓言"
"鱼王","https://img3.doubanio.com/view/subject/l/public/s29396716.jpg","作者:                         [俄]            维克托·阿斯塔菲耶夫                  出版社: 理想国 | 广西师范大学出版社              出品方: 理想国                        原作名: Царь-рыба                     译者:                        夏仲翼 等                  出版年: 2017-4              页数: 644              定价: 78.00元              装帧: 精装              丛书: 理想国·阿斯塔菲耶夫作品                          ISBN: 9787549586547","[俄]            维克托·阿斯塔菲耶夫",,"俄国文学                  小说                  外国文学                  文学                  俄罗斯                  阿斯塔菲耶夫                  苏俄文学                  理想国  ","俄国文学","小说","外国文学","文学","俄罗斯","阿斯塔菲耶夫","苏俄文学","理想国"
"月亮和六便士","https://img1.doubanio.com/view/subject/l/public/s2659208.jpg","作者:                         [英]            威廉·萨默塞特·毛姆                  出版社: 上海译文出版社                                  原作名: The Moon and Sixpence              译者:                     傅惟慈                  出版年: 2006-8              页数: 275              定价: 15.00元              装帧: 平装              丛书: 译文名著文库                          ISBN: 9787532739547","[英]            威廉·萨默塞特·毛姆",,"毛姆                  月亮和六便士                  小说                  外国文学                  英国                  英国文学                  毛姆：月亮和六便士                  文学  ","毛姆","月亮和六便士","小说","外国文学","英国","英国文学","毛姆：月亮和六便士","文学"
"世界的凛冬","https://img1.doubanio.com/view/subject/l/public/s29331058.jpg","作者:                         [英]            肯·福莱特                  出版社: 江苏凤凰文艺出版社                        副标题: 世纪三部曲 2              原作名: Winter of the World                     译者:                        陈杰                  出版年: 2017-3-1              页数: 1168              定价: 132.00（全三册）              装帧: 平装              丛书: 世纪三部曲                          ISBN: 9787539999074","[英]            肯·福莱特",,"世纪三部曲                  历史                  世界的凛冬                  二战                  小说                  肯·福莱特                  英国文学                  肯.福莱特  ","世纪三部曲","历史","世界的凛冬","二战","小说","肯·福莱特","英国文学","肯.福莱特"
"活着","https://img3.doubanio.com/view/subject/l/public/s23836852.jpg","作者:                     余华                  出版社: 南海出版公司                                                      出版年: 1998-5              页数: 195              定价: 12.00元              装帧: 平装              丛书: 余华作品                          ISBN: 9787544210966","余华","地主少爷福贵嗜赌成性，终于赌光了家业一贫如洗，穷困之中的福贵因为母亲生病前去求医，没想到半路上被国民党部队抓了壮丁，后被解放军所俘虏，回到家乡他才知道母亲已经去世，妻子家珍含辛茹苦带大了一双儿女，但女儿不幸变成了聋哑人，儿子机灵活泼……","余华                  活着                  小说                  中国文学                  人生                  当代                  文学                  生活  ","余华","活着","小说","中国文学","人生","当代","文学","生活"
"杀死一只知更鸟","https://img3.doubanio.com/view/subject/l/public/s23128183.jpg","作者:                         [美]            哈珀·李                  出版社: 译林出版社                                  原作名: To Kill a Mocking Bird                     译者:                        高红梅                  出版年: 2012-9              页数: 346              定价: 32.00元              装帧: 精装              丛书: 译林纪念版                          ISBN: 9787544722766","[美]            哈珀·李",,"杀死一只知更鸟                  美国文学                  成长                  小说                  经典                  哈珀·李                  外国文学                  教育  ","杀死一只知更鸟","美国文学","成长","小说","经典","哈珀·李","外国文学","教育"
"围城","https://img3.doubanio.com/view/subject/l/public/s1070222.jpg","作者:                     钱钟书                  出版社: 人民文学出版社                                                      出版年: 1991-2              页数: 359              定价: 19.00              装帧: 平装                                    ISBN: 9787020024759","钱钟书",,"钱钟书                  围城                  小说                  中国文学                  经典                  婚姻                  现代文学                  文学  ","钱钟书","围城","小说","中国文学","经典","婚姻","现代文学","文学"
"囚鸟","https://img3.doubanio.com/view/subject/l/public/s29474565.jpg","作者:                         [美]            库尔特·冯内古特                  出版社: 百花洲文艺出版社              出品方: 酷威文化                        原作名: Jailbird              译者:                     董乐山                  出版年: 2017-6              页数: 296              定价: 38.00元              装帧: 平装                                    ISBN: 9787550022348","[美]            库尔特·冯内古特","我们都是受困于时代的“囚鸟”——既渴望逃离，又踟蹰不前。","黑色幽默                  小说                  美国文学                  外国文学                  库尔特·冯内古特                  文学                  美国                  外国小说  ","黑色幽默","小说","美国文学","外国文学","库尔特·冯内古特","文学","美国","外国小说"
"斯通纳","https://img3.doubanio.com/view/subject/l/public/s28332051.jpg","作者:                         [美]            约翰·威廉斯                  出版社: 世纪文景/上海人民出版社              出品方: 世纪文景                        原作名: Stoner                     译者:                        杨向荣                  出版年: 2016-1              页数: 336              定价: 39.00元              装帧: 精装              丛书: 约翰·威廉斯作品                          ISBN: 9787208130500","[美]            约翰·威廉斯",,"小说                  美国文学                  人生                  约翰·威廉斯                  外国文学                  美国                  文学                  理想  ","小说","美国文学","人生","约翰·威廉斯","外国文学","美国","文学","理想"
"平凡的世界（全三部）","https://img3.doubanio.com/view/subject/l/public/s2335693.jpg","作者:                     路遥                  出版社: 人民文学出版社                                                      出版年: 2005-1              页数: 1631              定价: 64.00元              装帧: 平装              丛书: 茅盾文学奖获奖作品全集                          ISBN: 9787020049295","路遥","《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广阔背景下，通过复杂的矛盾纠葛，刻划社会各阶层众多普通人的形象。劳动与爱情，挫折与追求，痛苦与欢乐，日常生活与巨大社会冲突，纷繁地交织在一起，深刻地展示了普通人在大时代历史进程中所走过的艰难曲折的道路。","路遥                  平凡的世界                  小说                  中国文学                  人生                  经典                  文学                  当代  ","路遥","平凡的世界","小说","中国文学","人生","经典","文学","当代"
"我的天才女友","https://img1.doubanio.com/view/subject/l/public/s29164777.jpg","作者:                         [意]            埃莱娜·费兰特                  出版社: 人民文学出版社              出品方: 99读书人              副标题: 那不勒斯四部曲-01              原作名: L'amica geniale                     译者:                        陈英                  出版年: 2017-1              页数: 330              定价: 42.00元              装帧: 平装              丛书: 那不勒斯四部曲                          ISBN: 9787020120130","[意]            埃莱娜·费兰特",,"小说                  女性友谊                  埃莱娜·费兰特                  外国文学                  意大利文学                  意大利                  文学/小说                  女性  ","小说","女性友谊","埃莱娜·费兰特","外国文学","意大利文学","意大利","文学/小说","女性"
"局外人","https://img3.doubanio.com/view/subject/l/public/s4468484.jpg","作者:                         [法]            阿尔贝·加缪                  出版社: 上海译文出版社                                  原作名: L'Etranger              译者:                     柳鸣九                  出版年: 2010-9              页数: 128              定价: 22.00元              装帧: 精装              丛书: 译文经典（精装本）                          ISBN: 9787532751471","[法]            阿尔贝·加缪","《局外人》是加缪小说的成名作和代表作之一，堪称20世纪整个西方文坛最具有划时代意义最著名小说之一，“局外人”也由此成为整个西方文学-哲学中最经典的人物形象和最重要的关键词之一。","加缪                  存在主义                  法国                  小说                  外国文学                  法国文学                  局外人                  文学  ","加缪","存在主义","法国","小说","外国文学","法国文学","局外人","文学"
"卡拉马佐夫兄弟","https://img3.doubanio.com/view/subject/l/public/s2059791.jpg","作者:                         [俄]            费奥多尔·陀思妥耶夫斯基                  出版社: 上海译文出版社                                  原作名: Бра́тья Карама́зовы                     译者:                        荣如德                  出版年: 2006-8              页数: 847              定价: 25.00              装帧: 平装              丛书: 译文名著文库                          ISBN: 9787532740086","[俄]            费奥多尔·陀思妥耶夫斯基","老卡拉马佐夫贪婪好色，独占妻子留给儿子们的遗产，并与长子德米特里为一个风流女子争风吃醋。一天黑夜，德米特里疑心自己的情人去跟老头儿幽会，便闯入家园，一怒之下，差点把老头儿砸死。他仓皇逃离后，躲在暗中装病的老卡拉马佐夫的私生子斯乜尔加科夫悄然杀死老爷，造成了一桩震惊全俄的扑朔迷离的血案，从而引发一连串惊心动魄的事件。作品展示了错综复杂的社会、家庭矛盾和人性悲剧，体现了作家一生的最高艺术成就。","陀思妥耶夫斯基                  小说                  俄罗斯                  俄国文学                  外国文学                  卡拉马佐夫兄弟                  文学                  厚重的现实主义  ","陀思妥耶夫斯基","小说","俄罗斯","俄国文学","外国文学","卡拉马佐夫兄弟","文学","厚重的现实主义"
"刀锋","https://img3.doubanio.com/view/subject/l/public/s2347562.jpg","作者:                         [英]            威廉·萨默塞特·毛姆                  出版社: 上海译文出版社                                  原作名: The Razor's Edge              译者:                     周煦良                  出版年: 2007-3              页数: 318              定价: 18.00元              装帧: 平装              丛书: 译文名著文库                          ISBN: 9787532741922","[英]            威廉·萨默塞特·毛姆","威廉·萨默塞特·毛姆（1874-1965），英国著名小说家、戏剧家。《刀锋》是他的主要作品之一。","毛姆                  小说                  英国                  外国文学                  英国文学                  刀锋                  经典                  文学  ","毛姆","小说","英国","外国文学","英国文学","刀锋","经典","文学"
"醒来的女性","https://img3.doubanio.com/view/subject/l/public/s29469414.jpg","作者:                        [美] 玛丽莲·弗伦奇                  出版社: 北京联合出版公司              出品方: 未读              副标题: 一部女性的心灵史                               译者:                        余莉                  出版年: 2017-7              页数: 712              定价: 90.00元              装帧: 平装                                    ISBN: 9787550296787","未读",,"女性                  自我发现，自我觉醒                  女权                  一部女性的心灵史                  小说                  外国文学                  美国文学                  行走与追求  ","女性","自我发现，自我觉醒","女权","一部女性的心灵史","小说","外国文学","美国文学","行走与追求"
"你一生的故事","https://img3.doubanio.com/view/subject/l/public/s28033064.jpg","作者:                         [美]            特德·姜                  出版社: 译林出版社                        副标题: 特德·姜科幻小说集              原作名: Stories of Your Life and Others                     译者:                        李克勤                   /                王荣生                   /                姚向辉                  出版年: 2015-5              页数: 292              定价: 36.00元              装帧: 精装              丛书: 特德·姜科幻作品                          ISBN: 9787544752473","[美]            特德·姜",,"科幻                  科幻小说                  小说                  特德·姜                  美国                  外国文学                  美国文学                  特德姜  ","科幻","科幻小说","小说","特德·姜","美国","外国文学","美国文学","特德姜"
"双峰: 神秘史","https://img1.doubanio.com/view/subject/l/public/s29497457.jpg","作者:                        [美] 马克·弗罗斯特                  出版社: 北京时代华文书局                                  原作名: The Secret History of Twin Peaks                     译者:                        胡逍扬                  出版年: 2017-7-16              页数: 376              定价: 188.00元              装帧: 全彩精装              丛书: 双峰 TWIN PEAKS                          ISBN: 9787569914306","双峰 TWIN PEAKS",,"悬疑                  双峰                  大卫林奇                  小说                  美国                  马克·弗罗斯特                  文学                  电影  ","悬疑","双峰","大卫林奇","小说","美国","马克·弗罗斯特","文学","电影"
"恋情的终结","https://img3.doubanio.com/view/subject/l/public/s29507084.jpg","作者:                     格雷厄姆·格林                  出版社: 江苏凤凰文艺出版社              出品方: 读客                        原作名: The End of the Affair                     译者:                        柯平                  出版年: 2017-4              页数: 280              定价: 58.00元              装帧: 精装              丛书: 读客外国小说文库：格林文集                          ISBN: 9787539979410","格雷厄姆·格林","二战期间的英国伦敦，作家莫里斯爱上公务员亨利的妻子萨拉。一次意外事件导致萨拉不辞而别， 莫里斯在恨和嫉妒中度过了两年。两年后 ，他们再次相遇，当初那段感情中炙热的 爱、恨、猜疑、嫉妒、信仰，再度折磨着莫里斯。这段恋情最终如莫里斯所言：变成了一桩有开始也有结束的风流韵事。莫里斯记述了爱情开始的时刻，以及最后的时刻。这本书里有狂热的爱、狂热的恨、狂热的猜疑、狂热的嫉妒、狂热的信仰，有爱情中所有狂热的情感。","格雷厄姆·格林                  爱情                  小说                  外国文学                  英国文学                  想读，一定很精彩！                  经典                  文学  ","格雷厄姆·格林","爱情","小说","外国文学","英国文学","想读，一定很精彩！","经典","文学"
"欢迎来到猴子馆","https://img3.doubanio.com/view/subject/l/public/s29497493.jpg","作者:                         [美]            库尔特·冯内古特                  出版社: 中信出版集团/楚尘文化              出品方: 楚尘文化                        原作名: Welcome to the Monkey House                     译者:                        王宇光                  出版年: 2017-7-20              页数: 400              定价: 48.00元              装帧: 平装                                    ISBN: 9787508669946","[美]            库尔特·冯内古特",,"库尔特·冯内古特                  小说                  外国文学                  短篇小说                  冯内古特                  美国                  美国文学                  短篇  ","库尔特·冯内古特","小说","外国文学","短篇小说","冯内古特","美国","美国文学","短篇"
"外婆的道歉信","https://img1.doubanio.com/view/subject/l/public/s29435447.jpg","作者:                         [瑞典]            弗雷德里克·巴克曼                  出版社: 天津人民出版社                                  原作名: Min mormor hälsar och säger förlåt                     译者:                        孟汇一                  出版年: 2017-5              页数: 352              定价: 42.00元              装帧: 平装                                    ISBN: 9787201116693","[瑞典]            弗雷德里克·巴克曼",,"治愈                  我想读这本书                  想读，一定很精彩！                  小说                  情感                  外国文学                  弗雷德里克·巴克曼                  瑞典文学  ","治愈","我想读这本书","想读，一定很精彩！","小说","情感","外国文学","弗雷德里克·巴克曼","瑞典文学"
"不能承受的生命之轻","https://img1.doubanio.com/view/subject/l/public/s1091698.jpg","作者:                         [捷克]            米兰·昆德拉                  出版社: 上海译文出版社                                  原作名: Nesnesitelná lehkost bytí                     译者:                        许钧                  出版年: 2003-7              页数: 394              定价: 23.00元              装帧: 平装              丛书: 米兰·昆德拉作品系列（2003版）                          ISBN: 9787532731077","[捷克]            米兰·昆德拉","《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小说，小说从“永恒轮回”的讨论开始，把读者带入了对一系列问题的思考中，比如轻与重、灵与肉。","米兰・昆德拉                  不能承受的生命之轻                  外国文学                  小说                  哲学                  捷克                  文学                  米兰·昆德拉  ","米兰・昆德拉","不能承受的生命之轻","外国文学","小说","哲学","捷克","文学","米兰·昆德拉"
"白鹿原","https://img1.doubanio.com/view/subject/l/public/s9137567.jpg","作者:                     陈忠实                  出版社: 人民文学出版社                                                      出版年: 1997-12              页数: 677              定价: 28.00元              装帧: 平装              丛书: 茅盾文学奖获奖书系                          ISBN: 9787020026906","陈忠实","这是一部渭河平原五十年变迁的雄奇史诗，一轴中国农村班斓多彩、触目惊心的长幅画卷。主人公六娶六丧，神秘的序曲预示着不祥。一个家族两代子孙，为争夺白鹿原的统治代代争斗不已，上演了一幕幕惊心动魄的活剧：巧取风水地，恶施美人计，孝子为匪，亲翁杀媳，兄弟相煎，情人反目……大革命、日寇入侵、三年内战，白鹿原翻云覆雨，王旗变幻，家仇国恨交错缠结，冤冤相报代代不已……古老的土地在新生的阵痛中颤栗。厚重深邃的思想内容，复杂多变的人物性格，跌宕曲折的故事情节，绚丽多彩的风土人情，形成作品鲜明的艺术特色和令人震撼的真实感。","陈忠实                  白鹿原                  小说                  中国文学                  茅盾文学奖                  农村                  文学                  中国  ","陈忠实","白鹿原","小说","中国文学","茅盾文学奖","农村","文学","中国"
"繁花","https://img1.doubanio.com/view/subject/l/public/s26037307.jpg","作者:                     金宇澄                  出版社: 上海文艺出版社                                                      出版年: 2013-3-1              页数: 444              定价: CNY 48.00              装帧: 平装                                    ISBN: 9787532148004","金宇澄","这是一部地域小说，人物的行走，可找到“有形”地图的对应。这也是一部记忆小说，六十年代的少年旧梦，辐射广泛，处处人间烟火的斑斓记忆，九十年代的声色犬马，是一场接一场的流水席，叙事在两个时空里频繁交替，传奇迭生，延伸了关于上海的“不一致”和错综复杂的局面，小心翼翼的嘲讽，咄咄逼人的漫画，暗藏上海的时尚与流行；昨日的遗漏，或是明天的启示……即使繁花零落，死神到来，一曲终了，人犹未散。","小说                  上海                  金宇澄                  繁花                  中国当代文学                  中国文学                  文学                  中国  ","小说","上海","金宇澄","繁花","中国当代文学","中国文学","文学","中国"
"动物农场","https://img3.doubanio.com/view/subject/l/public/s2347590.jpg","作者:                         [英]            乔治·奥威尔                  出版社: 上海译文出版社                                  原作名: Animal Farm                     译者:                        荣如德                  出版年: 2007-3              页数: 119              定价: 10.00元              装帧: 平装              丛书: 译文名著文库                          ISBN: 9787532741854","[英]            乔治·奥威尔","《动物农场》是奥威尔最优秀的作品之一，是一则入木三分的反乌托的政治讽喻寓言。","乔治·奥威尔                  政治寓言                  小说                  外国文学                  英国                  极权主义                  政治                  动物农场  ","乔治·奥威尔","政治寓言","小说","外国文学","英国","极权主义","政治","动物农场"
"毒木圣经","https://img3.doubanio.com/view/subject/l/public/s29259503.jpg","作者:                         [美]            芭芭拉·金索沃                  出版社: 新经典文化/南海出版公司                                  原作名: The Poisonwood Bible                     译者:                        张竝                  出版年: 2017-3              页数: 576              定价: 59.00元              装帧: 精装              丛书: 新经典文库：芭芭拉·金索沃作品                          ISBN: 9787544280884","[美]            芭芭拉·金索沃",,"外国文学                  小说                  芭芭拉·金索沃                  美国文学                  文学                  美国                  ***新经典***                  2017  ","外国文学","小说","芭芭拉·金索沃","美国文学","文学","美国","***新经典***","2017"
"北鸢","https://img3.doubanio.com/view/subject/l/public/s29051355.jpg","作者:                     葛亮                  出版社: 人民文学出版社                                                      出版年: 2016-10-1              页数: 490              定价: 45.00元              装帧: 平装              丛书: 葛亮作品                          ISBN: 9787020118076","葛亮","《北鸢》起笔于民国商贾世家子弟卢文笙的成长，收束于上世纪中叶。将波诡云谲的民国动荡史寄予两个家族的命运沉浮，书写中国最为丰盛起伏的断代。人生一线，恰似风筝。命运漂浮无着，人亦应有自己的主心骨。政客、军阀、寓公、文人、商人、伶人，书中上百位经典民国人物，进退于沧桑。群落交织，浑然磅礴。文笙在大时代的风云中辗转历练，且行且进，最终尘埃落定。每个人都有自己的来处，了解来处，才知道自己的去向。在故事的日常精微与家族兴颓里，藏着我们过去以及未来的影子。","中国文学                  北鸢                  小说                  民国                  当代文学                  葛亮                  家族史                  中国  ","中国文学","北鸢","小说","民国","当代文学","葛亮","家族史","中国"
"一个叫欧维的男人决定去死","https://img3.doubanio.com/view/subject/l/public/s29071620.jpg","作者:                         [瑞典]            弗雷德里克·巴克曼                  出版社: 四川文艺出版社                                  原作名: En Man Som Heter Ove                     译者:                        宁蒙                  出版年: 2015-12              页数: 312              定价: 35.00元              装帧: 平装                                    ISBN: 9787541142185","[瑞典]            弗雷德里克·巴克曼",,"治愈                  北欧文学                  小说                  瑞典                  怪老头                  好书，值得一读                  外国文学                  弗雷德里克·巴克曼  ","治愈","北欧文学","小说","瑞典","怪老头","好书，值得一读","外国文学","弗雷德里克·巴克曼"
"吃鲷鱼让我打嗝","https://img1.doubanio.com/view/subject/l/public/s29419007.jpg","作者:                         [美]            杰西·艾森伯格                  出版社: 人民文学出版社                                  原作名: Bream Gives me Hiccups                     译者:                        吴文忠                  出版年: 2017-4              页数: 244              定价: 49.00元              装帧: 精装                                    ISBN: 9787020120963","[美]            杰西·艾森伯格",,"杰西·艾森伯格                  小说                  外国文学                  美国                  短篇                  JesseEisenberg                  卷西                  短篇集  ","杰西·艾森伯格","小说","外国文学","美国","短篇","JesseEisenberg","卷西","短篇集"
"我脑袋里的怪东西","https://img3.doubanio.com/view/subject/l/public/s28880686.jpg","作者:                         [土耳其]            奥尔罕·帕慕克                  出版社: 上海人民出版社              出品方: 世纪文景                        原作名: Kafamda Bir Tuhaflik                     译者:                        陈竹冰                  出版年: 2016-2              页数: 539              定价: 49.00元              装帧: 平装              丛书: 奥尔罕·帕慕克作品系列                          ISBN: 9787208135505","[土耳其]            奥尔罕·帕慕克",,"奥尔罕·帕慕克                  小说                  土耳其                  外国文学                  土耳其文学                  文学                  伊斯坦布尔                  帕慕克  ","奥尔罕·帕慕克","小说","土耳其","外国文学","土耳其文学","文学","伊斯坦布尔","帕慕克"
"悉达多","https://img1.doubanio.com/view/subject/l/public/s6790238.jpg","作者:                         [德]            赫尔曼·黑塞            / 校注                    丁君君                   出版社: 上海人民出版社              出品方: 世纪文景                                         译者:                        杨玉功 译                   /                丁君君 校                  出版年: 2009-3              页数: 157              定价: 20.00              装帧: 平装              丛书: 赫尔曼·黑塞作品系列                          ISBN: 9787208081628","[德]            赫尔曼·黑塞","古印度贵族青年悉达多英俊聪慧，拥有人们羡慕的一切。为了追求心灵的安宁，他孤身一人展开了求道之旅。他在舍卫城聆听佛陀乔答摩宣讲教义，在繁华的大城中结识了名妓伽摩拉，并成为一名富商。心灵与肉体的享受达到顶峰，却让他对自己厌倦、鄙弃到极点。在与伽摩拉最后一次欢爱之后，他抛弃了自己所有世俗的一切，来到那河边，想结束自己的生命。在那最绝望的一刹那，他突然听到了生命之河永恒的声音……经过几乎一生的追求，悉达多终于体验到万事万物的圆融统一，所有生命的不可摧毁的本性，并最终将自我融入了瞬间的永恒之中。","赫尔曼·黑塞                  德国                  小说                  黑塞                  宗教                  外国文学                  佛教                  德国文学  ","赫尔曼·黑塞","德国","小说","黑塞","宗教","外国文学","佛教","德国文学"
"无声告白","https://img3.doubanio.com/view/subject/l/public/s28109182.jpg","作者:                         [美]            伍绮诗                  出版社: 江苏凤凰文艺出版社                                  原作名: Everything I Never Told You                     译者:                        孙璐                  出版年: 2015-7              页数: 293              定价: 35.00元              装帧: 平装              丛书: 读客外国小说文库：伍绮诗作品                          ISBN: 9787539982830","[美]            伍绮诗",,"小说                  成长                  好书，值得一读                  华裔                  美国文学                  美国                  外国文学                  我想读这本书  ","小说","成长","好书，值得一读","华裔","美国文学","美国","外国文学","我想读这本书"
